section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
Sun Savings Bank,3.0,(1),Bank,"Carlos Perez Bldg, A. C. Cortes Ave",Open until 5:30 pm,(032) 345 5993,http://www.sunsavings.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI Family Savings Mandaue Branch,3.7,(6),Bank,"Candelaria Arcade, S.B.Cabahug, corner A. C. Cortes Ave",Open until 4:30 pm,(032) 318 3514,https://www.bpi.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Aspac Bank,5.0,(2),Bank,M. C. Briones St. Corner A. Cortes Ave.,Open until 4:00 pm,(032) 345 0929,,,
Penbank,3.8,(6),Bank,"F Ramirez Bldg, SB Cabahug St.",Open until 4:30 pm,(032) 344 5786,http://www.penbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Equicom Savings Bank ATM,4.0,(1),ATM,"Ground Floor, Mitsubishi Motors Building, M.C. Briones Street Highway, Maguikay",Open until 5:30 pm,(032) 344 7081,,,
Sun Savings Bank,4.0,(1),ATM,"Carlos Perez Bldg, A. C. Cortes Ave",Closing soon: 3:00 pm,(032) 422 4246,http://www.sunsavings.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mactan Rural Bank,5.0,(1),Bank,"MYFC Building, M. Patalingjug Ave",Open until 5:00 pm,(032) 495 2332,http://www.mactanbank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Eastwest,5.0,(1),ATM,"Gaisano Country Mall, Gov. M. Cuenco Ave",Open until 4:30 pm,(032) 318 2494,http://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank ATM,4.0,(1),ATM,"Lots 1 & 2, Block 8 I. Villa St., Asiatown IT Park, Lahug, Cebu City",Open until 6:00 pm,(032) 254 8467,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
RCBC Savings Bank - Basak,5.0,(1),Savings bank,Cebu N Rd,Open until 4:30 pm,(032) 344 8155,https://www.rcbcsavings.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AUB,5.0,(2),Bank,"AWPM Bldg, M. C. Briones St",Open until 4:00 pm,(032) 828 8784,http://www.aub.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Allied Bank,3.0,(1),Bank,664 A. C. Cortes Ave,Closing soon: 3:00 pm,(032) 345 1732,,,
DBP ATM,2.0,(1),ATM,"Capitol Compound, Osmeña Blvd",Open until 5:30 pm,(032) 256 1478,,,
UnionBank of the Philippines - Cebu Mandaue North Road,3.8,(6),Bank,"Gr. Floor, Khuz'ns Bldg., North Hi-way, M. C. Briones St",Closing soon: 3:00 pm,(032) 353 4301,https://www.unionbankph.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Development Bank of the Philippines ATM,5.0,(1),ATM,"Bridges Town Square, Plaridel Street, Barangay Alang-Alang",Closing soon: 3:00 pm,(02) 818 9513,,,
Landbank,3.0,(1),ATM,"Cebu Capitol Bulding, Capitol Compound Road",Closing soon: 3:00 pm,(032) 225 4343,http://www.landbank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI University Of Visayas-Banilad Cebu ATM,2.8,(8),ATM,Gullas College of Medicine Compound,Open until 6:30 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
China Banking Corporation,5.0,(2),Bank,"G/F SM City, Cebu N Rd",Open until 4:00 pm,(032) 422 3864,http://www.chinabank.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chinabank ATM,5.0,(1),ATM,"Gaisano Grand Mall, Gov. M. Cuenco Ave",Open until 4:00 pm,(032) 885 5888,http://www.chinabank.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO Gaisano Country Mall Banilad ATM,2.3,(3),ATM,"G/F ATM Center beside Dept Store Entrance Gaisano Country Mall Shopping Center, Gov. M. Cuenco Ave",Closing soon: 3:00 pm,(032) 316 8763,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI Family Savings F. Llamas Branch ATM,3.5,(2),ATM,Francisco Llamas St,Open until 5:30 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
China Bank,3.7,(6),Bank,Cebu N Rd,Closing soon: 3:00 pm,(032) 345 8861,http://www.chinabank.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
EastWest Bank,5.0,(2),Bank,"Carlos Perez Building, A. C. Cortes Ave",Open until 5:00 pm,(032) 236 1458,https://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank ATM,3.8,(6),ATM,"CEbu Gorordo Branch, 117 MIT Bldg., Gorordo Avenue Cebu City",Open until 4:30 pm,(032) 231 0712,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
EastWest Bank,2.8,(4),Bank,"G/F, ALDO Bldg, Cebu N Rd",Open until 5:00 pm,(032) 236 5582,https://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO Primary Structures Corp.-V. Rama ATM,4.0,(1),ATM,"G/F PSC Bldg, V Rama Ave",Closing soon: 3:00 pm,(032) 422 4246,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Security Bank,3.8,(8),Bank,Island Central Mall,Open until 6:00 pm,(032) 495 2332,http://www.securitybank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
UCPB,5.0,(1),ATM,"Cebu Capitol Bldg, Osmeña Blvd",Open until 4:30 pm,(032) 318 2494,,,
Landbank ATM,4.0,(1),ATM,"Central Command Gate2 1985, Camp Lapu-Lapu Rd, Apas, Cebu City, 6000 Cebu, 1985 Camp Lapu-Lapu Rd",Open until 6:00 pm,(032) 254 8467,,,
Bancnet,5.0,(1),ATM,Paseo Saturnino,Open until 4:30 pm,(032) 344 8155,,,
UnionBank ATM - Cebu Town Center,5.0,(2),ATM,"Gov. M. Cuenco Ave G/F, Banilad Town Center",Open until 4:00 pm,1800 1 888 2277,https://www.unionbankph.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO Cebu - A.C. Cortes Branch,3.0,(1),Bank,"Units 1-4 Ibabao Square, A. C. Cortes Ave",Closing soon: 3:00 pm,(032) 348 0099,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Eastwest Unibank,2.0,(1),ATM,"PDI Condominium, Gov. M. Cuenco Ave. Cor. J. Panes St.",Open until 5:30 pm,(032) 256 1478,http://www.eastwestbanker.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI Henry Hotel ATM,3.8,(6),ATM,"G/F No, 1 Paseo Saturnino",Closing soon: 3:00 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank ATM,5.0,(1),ATM,"Sharnica Suites V. Rama Ext. Guadalupe, Cebu City",Closing soon: 3:00 pm,(02) 818 9513,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
RNG Coastal Bank,5.0,(1),Bank,"Naga People's Market, East Poblacion City of Naga, Cebu",Open until 4:00 pm,(032) 238 6247,,,
BPI Banilad Town Center ATM,2.8,(8),ATM,Gov. M. Cuenco Ave,Open until 6:30 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chinabank,5.0,(2),ATM,"I. Black Building, R. Duterte St",Open until 4:00 pm,(032) 416 3827,http://www.chinabank.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO Cebu Mandaue - North Road Branch,4.0,(3),Bank,"G/F North Road Plaza, National Highway",Open until 6:00 pm,(032) 631 8000,http://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI,5.0,(1),ATM,"BTC Bldg, Gov. M. Cuenco Ave",Closing soon: 3:00 pm,(032) 316 8763,,,
BPI Arcenas Cebu ATM,3.5,(2),ATM,"Paseo Arcenas Center, Arcenas Bldg., Banawa Road",Open until 5:30 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI Jp Morgan Cebu ATM,3.7,(6),ATM,Jose Maria del Mar St,Closing soon: 3:00 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
RCBC,5.0,(2),ATM,M. L. Quezon Ave,Open until 5:00 pm,(032) 236 1458,,,
BPI Cebu North Gen Hospital ATM,5.0,(1),ATM,"Main Lobby near Entrance, Barangay San Jose",Open until 4:30 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank ATM,2.8,(4),ATM,"Amon Trading Corporation Bldg., Salinas Drive Cebu City",Open until 5:00 pm,(032) 236 5582,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank ATM,4.0,(1),ATM,"M. Velez Street, Cebu City",Closing soon: 3:00 pm,(032) 422 4246,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
PSBank ATM,3.8,(8),ATM,,Open until 8:00 pm,(032) 845 8888,https://www.psbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI,3.0,(1),ATM,V Rama Ave,Open until 4:30 pm,(032) 318 2494,http://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank ATM,3.0,(1),ATM,"PNF, Commercial Building, Talamban, Cebu City",Open until 6:00 pm,(032) 254 8467,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
RCBC,5.0,(1),ATM,"1830 South, R. Arcenas St Banawa",Open until 4:30 pm,(032) 344 8155,,,
Chinabank,5.0,(2),ATM,"JY Square Mall, Salinas Dr",Open until 4:00 pm,(032) 233 0977,http://www.chinabank.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank ATM,3.0,(1),ATM,"MetroBank Building, Governor Cuenco Avenue, Banilad Road, Banilad, Cebu City",Closing soon: 3:00 pm,(032) 348 0099,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
PBCOM ATM - MONTEBELLO HOTEL,2.0,(1),ATM,Montebello Hotel,Open until 5:30 pm,(032) 256 1478,http://www.pbcom.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ASPAC Rural Savings Bank,3.8,(6),Bank,"ADM Building, National Hwy",Closing soon: 3:00 pm,(032) 423 9880,,,
BPI Cebu Talamban Branch ATM & CAM,5.0,(1),ATM,777 Sitio Kalubihan,Closing soon: 3:00 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI Pipc Cebu ATM,5.0,(1),ATM,"Asiatown IT Park, Salinas Dr Ext",Open until 4:00 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank ATM,2.5,(2),ATM,"Cebu Veterans Drive, Nivel Hills Cebu City",Open until 6:30 pm,(02) 89100,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
RCBC ATM,5.0,(2),ATM,"RCBC Building, A. S. Fortuna St",Open until 4:00 pm,(032) 416 3827,,,
Metrobank ATM,5.0,(1),ATM,"Gov Cuenco Ave., Nasipit, Talamban, Cebu City",Open until 6:00 pm,(032) 888 5775,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank CAM,5.0,(1),ATM,"South National Road, Bulacao, Talisay, Cebu City",Closing soon: 3:00 pm,(032) 316 8763,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI ATM,3.5,(2),ATM,"Men Chavez, 59 N Escario St",Open until 5:30 pm,(02) 89100,,,
BPI Gaisano Talamban Cebu ATM,3.7,(6),ATM,Brgy,Open until 9:00 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Maybank,5.0,(2),ATM,"JY Square, Salinas Dr",Open until 5:00 pm,(032) 512 0454,http://www.maybank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI,4.0,(3),ATM,V Rama Ave,Open until 4:30 pm,(02) 89100,http://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
RCBC,2.8,(4),ATM,"Skyrise 4, V. Padriga St",Open until 5:00 pm,(032) 236 5582,http://www.rcbc.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO,1.0,(1),ATM,"Gaisano Country Mall, Gov. M. Cuenco Ave",Closing soon: 3:00 pm,(032) 422 4246,http://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI Cebu Institute Of Technology ATM,3.8,(8),ATM,"G/F Science Technology Bldg., CIT, Natalio B. Bacalso Ave",Open until 8:00 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI,5.0,(2),ATM,"Gullas Medical Center, Gov. M. Cuenco Ave. Gulas Dr.",Open until 4:30 pm,(032) 318 2494,http://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI Ebloc Cebu ATM,3.0,(1),ATM,"eBloc 1 Tower, Del Mar St",Open until 6:00 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO,5.0,(1),ATM,"JY Square, Salinas Dr",Open until 4:30 pm,(032) 344 8155,http://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank ATM Offsite,4.0,(1),ATM,969 V Rama Ave,Open until 4:00 pm,(032) 233 0977,,,
BDO ATM Machine,4.0,(1),ATM,1277 V Rama Ave,Closing soon: 3:00 pm,(032) 348 0099,,,
BPI,3.0,(3),ATM,"Gaisano Fiesta Mall, Gov. M. Cuenco Ave",Open until 5:30 pm,(032) 256 1478,http://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO One Pavilion Mall Cebu,3.8,(6),ATM,"G/F ATM-02, One Pavilion Mall, 22 R. Duterte St",Closing soon: 3:00 pm,(032) 423 9880,,,
BPI Cebu N. Bacalso Branch ATM,3.0,(2),ATM,"Boy Scout Bldg, Natalio B. Bacalso Ave",Closing soon: 3:00 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI Ebloc Cebu ATM,5.0,(1),ATM,"eBloc 1 Tower, Del Mar St",Open until 4:00 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank CAM,2.5,(2),ATM,"Amon Trading Corp. Bldg. Salinas Drive, Cebu City",Open until 6:30 pm,(02) 89100,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
RCBC ATM,5.0,(1),ATM,,Open until 4:00 pm,(032) 416 3827,,,
PNB,3.0,(1),ATM,"One Pavilion Mall, 22 R. Duterte St. Banawa",Open until 6:00 pm,(032) 888 5775,http://www.pnb.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank CAM,5.0,(1),ATM,"N. Escario St., corner M. Zosa St., Cebu City",Closing soon: 3:00 pm,(032) 316 8763,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO Fooda Savers-Guadalupe ATM,3.5,(2),ATM,"G/F main entrance, Food Savers Mart-Guadalupe, V. Rama St",Open until 5:30 pm,(02) 89100,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI Cebu Ayala Malls Central Bloc Branch ATM,3.7,(6),ATM,"Central Bloc, G/F",Open until 9:00 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO JY Square Mall ATM,5.0,(2),ATM,"G/F JY IT Center 3, JY Commercial Complex No. 1 Salinas Drv, cor Gorordo Ave",Open until 5:00 pm,(032) 512 0454,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank CAM,4.0,(1),ATM,"Metrobank (Cebu) Plaza, Osmeña Blvd., Near Rotonda, Cebu City",Open until 4:30 pm,(02) 89100,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO The Henry Hotel-Cebu,2.8,(4),ATM,"G/F, Ma. Luisa Entrance Road, One Paseo Compound",Open until 5:00 pm,(032) 236 5582,,,
BDO NGCP Cebu Grid ATM,5.0,(1),ATM,"G/F NGCP Bldg, Nasipit Road",Closing soon: 3:00 pm,(032) 422 4246,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI Cebu Asiatown It Park Branch ATM & CAM,3.8,(8),ATM,"GF-14 G/F TGU Tower, Cebu Asiatown IT Park J M, Salinas Drive, cor Jose Maria del Mar St",Open until 8:00 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO ATM Cebu CFI Community Cooperative Bldg.,5.0,(2),ATM,"G/F Lobby near entrance, Cebu Capitol Compound, Cebu Provincial Capitol",Open until 4:30 pm,(032) 318 2494,,,
BDO,4.0,(2),ATM,V Rama Ave,Open until 6:00 pm,(02) 89100,http://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI Aegis Cebu ATM,4.0,(1),ATM,"G/F Aegis Tower, Asiatown IT Park",Open until 4:30 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BPI Jy Square Cebu ATM,4.5,(2),ATM,"JY Square IT Center, Salinas Dr",Open until 4:00 pm,(02) 89100,https://www.bpiexpressonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO Convergys Cebu Banawa Hills ATM,4.0,(1),ATM,"Arcenas Estates, G/F Convergys Bldg, R. Arcenas St",Closing soon: 3:00 pm,(032) 348 0099,https://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO ATM,3.3,(6),ATM,"Convergys, R. Arcenas St",Open until 5:30 pm,(032) 256 1478,http://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO Cebu - Consolacion Branch,3.0,(8),Bank,"City, 6000, GF SM City, Cebu N Rd",Open until 7:00 pm,(032) 260 0033,http://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
BDO ATM,3.0,(1),ATM,"Gaisano Country Mall, Camp Lapu-Lapu Rd",Closing soon: 3:00 pm,(032) 231 1493,http://www.bdo.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bancnet ATM,5.0,(1),ATM,N. Bacalso National Highway,Open until 4:00 pm,(02) 89100,https://www.bancnetonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Metrobank ATM,2.5,(2),ATM,"Ground Floor Lobby, Campus, Pit-OS",Open until 6:30 pm,(02) 89100,https://www.metrobank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Green Bank (A Rural Bank) Inc. - Tisa,5.0,(1),,"214 Katipunan St., Tisa, Cebu City, Cebu",Open until 4:00 pm,(032) 238 9242,http://www.greenbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Development Bank of the Philippines - Cebu Branch,3.8,(57),,Osmeña Blvd,Open until 3:30 pm,(032) 255 6315,,,
Royal Gold Pawnshop,5.0,(1),Pawn shop,S. Osmeña Street,Closing soon: 3:00 pm,(032) 340 6639,http://www.rbcroyalbank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
RNG Coastal Bank Inc.( A Rural Bank),5.0,(1),,"Talamban Mart,Corner Cabancalan Road, Talamban, Cebu City, Cebu",Open until 5:30 pm,(032) 418 0888,,,
Green Bank (Subangdaku Branch),3.0,(1),,"PSO 246/490 Dayzon Bldg., Lopez Jaena St., Subangdaku, Mandaue City 6014",Open until 9:00 pm,(032) 346 4008,http://www.greenbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
China Banking Corporation,5.0,(2),,Magallanes,Open until 5:00 pm,(032) 253 8009,,,
Equicom Savings Bank Credit Card Bill Payments,4.0,(1),Business center,"Robinsons Bank, Mango Avenue",Open until 4:30 pm,(032) 346 6452,,,
Cooperative Bank,2.8,(4),,52 Andres Abellana St,Open until 5:00 pm,(032) 236 5582,,,
"Katipunan Bank (ZN), Inc.",5.0,(1),,"Sk Building, Bulacao, Talisay City, Cebu",Closing soon: 3:00 pm,(032) 273 1518,http://www.katipunanbank.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
United Coconut Planters Bank,3.4,(8),,"Lower Ground Floor SM City Cebu, Reclamation Area, Cebu City, 6000, Cebu",Open until 4:00 pm,(032) 231 7971,https://www.ucpb.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
United Coconut Planters Bank (UCPB) Jones Avenue,4.5,(4),Banking and finance,Visitacion St,Closing soon: 3:00 pm,(032) 256 3772,,,
BPI Family Bank,4.0,(2),,888 A S Fortuna,Open until 6:00 pm,(032) 346 4116,,,
"Green Bank, Inc. - Manalili St.",4.0,(1),,"Traveller's Home cor. Manalili St., Cebu City, Cebu",Open until 4:30 pm,(032) 416 9798,http://www.greenbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Chinatrust Commercial Bank,4.5,(2),,"G/F The Forum, Archbishop Reyes Avenue, Cebu City 6000",Open until 4:00 pm,(032) 233 3800,https://www.ctbcbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
United Coconut Planters Bank,3.7,(3),,"TPE Building, Banilad-Talamban Flyover Street, Banilad, Cebu City, 6000, Cebu",Closing soon: 3:00 pm,(032) 346 2460,https://www.ucpb.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
China Bank Bancnet ATM,3.3,(6),,"China Bank, G.Y. Dela Serna St., Lapu-Lapu",Open until 5:30 pm,(032) 256 1478,https://www.bancnetonline.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Wealth Development Bank Corp,3.0,(8),,148 F. Ramos St,Open until 7:00 pm,(032) 260 0033,,,
Ncr Corporation,3.0,(1),Marketing consultant,"IT Park, Lahug",Closing soon: 3:00 pm,(032) 234 9286,,,
Wells Fargo ExpressSend,5.0,(1),Money transfer service,114 Juan Luna Ave Ext,Open until 4:00 pm,(032) 232 0320,https://www.wellsfargo.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Rural Bank of Mandaue, Inc.",5.0,(1),,302 A. Del Rosario St,Open until 6:30 pm,(032) 345 5662,http://www.bsp.gov.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cebu Provincial Capitol,4.4,(54),Local government office,,Open until 5:00 pm,(032) 888 2328,,,
Rizal Commercial Banking Corporation,3.8,(57),,151 M. Velez St,Open until 3:30 pm,(032) 255 6315,,,
Psbank,5.0,(2),,"L2, Near Home , SM Cebu City, Juan Luan Avenue Extension , 6000 Cebu City , Cebu",Closing soon: 3:00 pm,(02) 8885 8208,,,
Green Bank,5.0,(1),,"ML Quezon National Highway, Pusok, Lapu-lapu City 6501",Open until 5:30 pm,(032) 495 4837,http://www.greenbank.com.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
JP Morgan Chase & Co.,4.6,(129),Business to business service,Jose Maria del Mar St,Open until 9:00 pm,(032) 401 9700,http://www.jpmorganchase.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
