section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,e0HygkTYhQy__attribute-content,section-result-info,section-result-info 2
Majestic,4.5,(13),,Fast Food,"Robinsons Place Cebu, Fuente Osmeña Boulevard, Sta. Cruz",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 10:00 pm,Temporarily closed
Sinangag Station,3.9,(37),,Fast Food,,Quick stop for familiar Chinese fare,Delivery,Open until 6:00 pm,Temporarily closed
Orange Brutus,4.1,(227),,Fast Food,R. Landon St,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
Cebu's Original Lechon Belly,4.0,(78),,Fast Food,Park Mall Ouano Avenue,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 11:30 pm,
Jollibee,3.8,(63),₱,Fast Food,Colon St,Fast-food chain with Filipino flavors,Delivery,Open until 11:00 pm,Temporarily closed
Cebu's Original Lechon Belly,3.8,(26),,Fast Food,"SM City, Pope John Paul II Ave",Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,Closed
Chowking,3.3,(12),₱,Fast Food,"G/F, Parkmall, J. Luna Ave",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 9:00 pm,Temporarily closed
Pure Snack Food House Corporation.,2.0,(1),,Fast Food,J.M. Ceniza,Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,
Angel's Burger,3.0,(8),,Fast Food,37 Sampaguita St,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Closed
Dimsum Break,3.8,(21),₱₱,Fast Food,"Ground Floor, Elizabeth Mall N. Bacalso Ave, cor Leon Kilat St",Quick stop for familiar Chinese fare,Delivery,Open until 8:00 pm,
McDonald's,5.0,(3),,Fast Food,"3rd Level, Ayala Center Cebu, Cebu Business Park",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 10:00 pm,
High Blood Station,3.8,(74),,Fast Food,San Roque St,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 2:00 am,Temporarily closed
Beverly Room Restaurant,4.5,(2),,Fast Food,F. Manalo Street,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 1:30 am,
Chowking - SM City Cebu,5.0,(1),,Fast Food,Unnamed Road,Fast-food fried chicken chain,Delivery,Open until 9:00 pm,Temporarily closed
Mang Inasal,3.4,(9),₱,Fast Food,"Gaisano Grand Mall Minglanilla, Natalio B. Bacalso S National Hwy",Quick stop for familiar Chinese fare,Delivery,Open until 8:00 pm,
Ginabot sa Pardo,4.3,(44),,Fast Food,"cor. Dacalos and, J Tabura St",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
East Ocean Seafood Restaurant,3.2,(6),,Fast Food,J.Panis Street,Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Temporarily closed
Orange Brutus,3.7,(29),,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Temporarily closed
Chowking,2.0,(4),₱,Fast Food,"Level 1, Citymall Consolacion, Brgy Cansaga, Consolacion Cebu",Quick stop for familiar Chinese fare,Delivery,Open until 8:00 pm,Temporarily closed
Mang Inasal,3.7,(54),₱,Fast Food,"SM City Cebu, Juan Luna Ave Ext",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 9:00 pm,Temporarily closed
Orange Brutus,3.5,(8),,Fast Food,"Plaza Margarita, Sandayong",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 8:30 pm,Temporarily closed
New White Gold House Restaurant,4.1,(52),,Fast Food,6000 G. Gaisano St,Quick stop for familiar Chinese fare,Delivery,Open until 6:00 pm,Temporarily closed
Maexel ChiCha Bites and Snacks,1.0,(1),,Fast Food,"951, Maderazzo Building, Cebu South Road, San Nicholas, Mambaling",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
Tiktilaok,4.0,(78),,Fast Food,"Stall 1, SWU Canteen, Uytengsu St",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 11:30 pm,
Jollibee,4.2,(170),₱,Fast Food,"Radaza Bldg, S. Osmeña Street",Fast-food chain with Filipino flavors,Delivery,Open until 11:00 pm,Temporarily closed
Cebu's Original Lechon Belly,5.0,(1),,Fast Food,"Super Metro Gaisano M.L., M.L. Quezon National Highway",Iconic fast-food burger & fries chain,Delivery,Open until 9:00 pm,Closed
ARA Food and Print Express,5.0,(1),,Fast Food,Basak-Cagodoy-Bankal-Buaya Road,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 9:00 pm,Temporarily closed
NOAK Foodhub,4.6,(9),,Fast Food,no. 1 Arellano Blvd,Quick stop for familiar Chinese fare,Delivery,Open until 8:00 pm,
Sr. Pedro,5.0,(1),,Fast Food,345 M. J. Cuenco Ave,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Closed
Kandingan Sa Opon Restaurant,4.5,(2),,Fast Food,Basak Road,Quick stop for familiar Chinese fare,Delivery,Open until 8:00 pm,
Leylam Shawarma,3.5,(4),,Fast Food,"2nd Floor Robinsons Cybergate Cebu, Don Gil Garcia Street",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 9:00 pm,
Jollibee,3.6,(22),₱,Fast Food,"2nd Gaisano Country Mall, Gov. M. Cuenco Ave",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
Andok's,3.3,(4),₱,Fast Food,"Andok's Building, Natalio B. Bacalso Ave",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 9:00 pm,
ANGANA Kumain,3.0,(1),,Fast Food,Tungkop Rd,Fast-food fried chicken chain,Delivery,Open until 11:00 pm,Temporarily closed
Tiktilaok,4.6,(7),,Fast Food,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Quick stop for familiar Chinese fare,Delivery,Open until 10:00 pm,
Golden Arches Development Corporation,4.4,(10),,Fast Food,Colon Corner Borromeo Street,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
Cebu's Original Lechon Belly,4.0,(1),,Fast Food,"SM Hypermarket Food Area 165 A. S., A. S. Fortuna St",Fast-food chain with Filipino flavors,Delivery,Open until 8:00 pm,Temporarily closed
Mang Inasal,3.5,(56),₱,Fast Food,"Osmeña Blvd, corner F. Gonzales St",Korean fried chicken specialist,Delivery,Open until 10:00 pm,Temporarily closed
Mang Inasal,3.5,(20),₱,Fast Food,"SM Seaside City, Cebu South Coastal Rd",Quick stop for familiar Chinese fare,Delivery,Open until 9:00 pm,Temporarily closed
Chowking,3.5,(29),₱,Fast Food,"Level 1, Starmall Azienda, Lawaan 1, Talisay City",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 9:00 pm,Temporarily closed
Andok's,3.5,(6),₱,Fast Food,,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 8:30 pm,Temporarily closed
Andoks,4.0,(86),,Fast Food,"Mabolo, M. J. Cuenco Avenue, 6000, Cebu City, Cebu",Quick stop for familiar Chinese fare,Delivery,Open until 10:30 pm,Temporarily closed
Okinawa Heat - SM Foodcourt,5.0,(2),,Fast Food,SM City Cebu,Fast-food chain with Filipino flavors,Delivery,Open until 8:00 pm,Temporarily closed
McDonald's,2.3,(10),₱,Fast Food,"Colonade Mall, Colon St. Cor Legaspi St.",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 9:00 pm,
Jollibee,2.9,(11),,Fast Food,,Fast-food chain with Filipino flavors,Delivery,Open until 11:00 pm,Temporarily closed
Mang Inasal,3.4,(54),₱,Fast Food,"Parkmall, 168 Ouano Avenue",Iconic fast-food burger & fries chain,Delivery,Open until 8:00 pm,Closed
Chowking,2.8,(10),,Fast Food,G/F Gaisano Country Mall,Quick stop for familiar Chinese fare,Delivery,Open until 10:00 pm,Temporarily closed
Chowking,3.1,(25),₱,Fast Food,"Unit 131, G/F, Gaisano Country Mall, Banilad, Cebu City",Quick stop for familiar Chinese fare,Delivery,Open until 8:00 pm,Temporarily closed
Jafar's Shawarma Station,3.1,(16),,Fast Food,Ayala Center Cebu,Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Closed
KFC Fuente Osmeña,3.8,(336),₱,Fast Food,"Doña Luisa Building, G/F, Fuente Osmeña Cir",Fast-food fried chicken chain,Delivery,Open until 8:00 pm,
Chowking,4.1,(66),₱,Hong Kong style fast food restaurant,26 Osmeña Blvd,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,
Burger King,2.6,(13),,Fast Food,Mactan Cebu International Airport Terminal 2,Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
Mang Inasal,2.7,(13),₱,Fast Food,G/F Gaisano Fiesta Mall Tabunok 6045,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 8:00 pm,
KFC Mandaue,4.0,(421),₱,Fast Food,"RAMCAR Building, M. C. Briones Avenue, Maguikay Mandaue",Fast-food fried chicken chain,Delivery,Open until 11:00 pm,Temporarily closed
Goldilocks Bakeshop,3.0,(2),₱₱,Fast Food,"Tisa Street, Labangon",Quick stop for familiar Chinese fare,Delivery,Open until 10:00 pm,Temporarily closed
KFC E Bloc 3,3.9,(50),₱,Fast Food,"eBloc 3 Tower, Stall 109 Level 1, G/F",Fast-food fried chicken chain,Delivery,Open until 9:00 pm,Temporarily closed
Cebu Lumpia House,4.0,(56),,Fast Food,262 Manalili St,Fast-food chain with Filipino flavors,Delivery,Open until 5:30 pm,Temporarily closed
KFC Redemptorist,3.8,(141),₱,Fast Food,"Redemptorist Plaza, 15-C Queen's Rd",Fast-food fried chicken chain,Delivery,Open until 9:00 pm,Temporarily closed
Senen's Fastfood Catering Service,5.0,(1),,Caterer,6000 M. J. Cuenco Ave,Quick stop for familiar Chinese fare,Delivery,Closing soon: 4:00 pm,Temporarily closed
Red Ribbon,4.0,(1),₱₱,Fast Food,"Lower Ground Floor, SM Seaside City Cebu, Cebu South Coastal Rd",Filipino bakery selling cakes & pastries,Delivery · Takeaway,Open until 9:00 pm,Temporarily closed
Alzen's Food station,2.3,(3),,Restaurant,236-230 Tres de Abril St,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 8:30 pm,Temporarily closed
Tokyo Tokyo,3.3,(8),₱₱,Japanese,"SM Seaside, F Vestil St Cor SRP",Quick stop for familiar Chinese fare,Delivery,Open until 9:00 pm,Temporarily closed
Kenny Rogers Roasters,4.2,(38),₱₱,Chicken,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Temporarily closed
KFC Ayala Cebu 2,2.6,(31),₱,Fast Food,"Archbishop Reyes Cebu, 3rd level, Ayala Center Cebu, Cebu Business Park",Iconic fast-food burger & fries chain,Delivery · Takeaway,Open until 10:00 pm,
Mr. Potato,2.9,(11),,Takeout Restaurant,M. Logarta St. Inside North Bus Terminal,Fast-food chain with Filipino flavors,Takeaway,Open until 7:00 pm,Temporarily closed
Mr. Potato,3.4,(54),,Takeout Restaurant,"J. Centre Bldg, A. S. Fortuna St",Iconic fast-food burger & fries chain,Takeaway,Open until 9:00 pm,Closed
Sbarro,3.9,(19),,Pizza,SM City Cebu - Motorcycle Parking 2,Fast-food chain for pizza & pasta,Delivery,Open until 9:00 pm,Temporarily closed
Mr. Potato,3.1,(25),,Takeout Restaurant,"APM Mall Building, A. Soriano Ave, Nra",Quick stop for familiar Chinese fare,Takeaway,Open until 9:00 pm,Temporarily closed
Silogan ni Gian,4.2,(309),₱,Breakfast,2 Gorordo Ave,Fast-food chain with Filipino flavors,Delivery,Open until 10:00 pm,Closed
PAPSY'S BBQ narra uno,4.2,(261),₱₱,Restaurant,Gov. M. Cuenco Ave,Fast-food fried chicken chain,Delivery · Takeaway,Open until 10:00 pm,
Zubuchon,4.1,(224),₱₱,Filipino,"Escario Central, N Escario St",Fast-food chain with Filipino flavors,Delivery,Open until 11:00 pm,
CnT Lechon,4.3,(398),₱₱,Restaurant,V Rama Ave,Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 9:00 pm,Temporarily closed
Mr. Potato,2.7,(13),,Takeout Restaurant,P. del Rosario St,Fast-food chain with Filipino flavors,Takeaway,Open until 8:00 pm,
Cnt Lechon,3.9,(156),,Takeout Restaurant,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Fast-food fried chicken chain,Takeaway,Open until 10:00 pm,Temporarily closed
Zubuchon,3.9,(873),₱₱,Restaurant,"One Mango Mall, General Maxilom Ave",Quick stop for familiar Chinese fare,Delivery · Takeaway,Open until 11:00 pm,Temporarily closed
Mr. Potato,3.9,(50),,Takeout Restaurant,"Ultra Vistarama, Legaspi St",Fast-food fried chicken chain,Takeaway,Open until 7:45 pm,Temporarily closed
Tokyo Tokyo Philippines,3.6,(22),₱₱,Japanese,"G/F, SM Seaside, Reclamation Area",Fast-food chain with Filipino flavors,Delivery,Open until 9:00 pm,Temporarily closed
Landers Super Store,3.9,(7),,Restaurant,Cardinal Rosales Ave,Fast-food fried chicken chain,Delivery,Open until 9:00 pm,Temporarily closed
Banana Leaf Curry House,3.5,(6),₱₱,Restaurant,"G/L Ayala Center Cebu, The Terraces, Cebu City, Cebu",Quick stop for familiar Chinese fare,Delivery,Closing soon: 4:00 pm,Temporarily closed
Legacy Fastfood Corporation,4.0,(1),,,"528 Gen. Maxilom Avenue, Cebu City, Cebu",Filipino bakery selling cakes & pastries,Delivery · Takeaway,Open until 9:00 pm,Temporarily closed
Tokyo Tokyo Philippines,2.6,(15),₱₱,Japanese,"G/F, SM City Cebu, Juan Luna Avenue",Fast-food chain with Filipino flavors,Delivery · Takeaway,Open until 9:00 pm,Temporarily closed
Dairy Queen,4.6,(47),,Ice Cream,"Robinsons Cybergate, Ground Level",Longtime ice cream & fast-food chain,Delivery,Open until 9:00 pm,Temporarily closed
