section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-info 3,section-result-action href,section-result-action-icon src 2,section-result-action-text 2,e0HygkTYhQy__attribute-content,e0HygkTYhQy__attribute-content 2,e0HygkTYhQy__attribute-content 3
DR K. Dental Clinic.,3.0,(2),Hospital,Apitong St,(032) 422 1243,Closing soon: 6:00 pm,Closed,,,,"""Fantastic",Dentist,"! Very clean, professional and skilled!"""
Dr. Leonard Lagria,5.0,(1),,"Room 710, SPC Medical Specialty Center, Perpectual Succor Hospital, Gorordo Ave",Opens at 9:00 am,0915 515 6509,Closed,,,,"""Indistinguishable from a good",dentist,"in USA."""
Dr.Meriam F.Sumalinog,4.7,(14),,"Intellmed Inc., Fuente Jones Ave",0932 934 3244,Opens at 10:00 am,Closed,,,,"""I like the",dentist,"who attended to my sisters."""
Dr. Joseph Clint Bacalla,5.0,(12),,"Room 204-A Ma. Cristina Building, Fuente Osmena, Cebu City, Cebu",Open until 6:30 pm,(032) 412 4618,Closed,,,,,,
Dental Clinic,5.0,(1),,"Fortune Life Building, Osmeña Blvd",Open until 6:30 pm,(032) 254 4899,,,,,"""Best",dentist,"! All staffs are well accomodating and clinic is clean."""
SKIN DOCTORS FACIAL AND COSMETIC CLINIC,4.5,(12),Dermatologist,,Open until 6:30 pm,0943 256 1565,Closed,https://www.facebook.com/skindoctorsclinic/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Staff is very accomodating and the",dentist,"was also very nice and ..."""
Mactan Medical and Dental Centre,5.0,(1),Medical Center,"Block C, Mactan Marina Mall,, 2/F M.L. Quezon National Highway",Open until 7:00 pm,(032) 340 7683,Closed,,,,"""Dr. Noel is a great",Dentist,", very nice and helpful."""
Yap and Associates Dental Clinic,4.5,(10),Dental clinic,"City Square, Carlos P. Garcia Ave",Open until 6:30 pm,(038) 411 0143,Closed,http://www.yapdentalclinic.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""I recommend her to all those who are looking for a better",dentist,"who ..."""
Chong Hua Hospital,2.3,(52),Hospital,Mantawe Ave,Closing soon: 6:00 pm,(032) 233 8000,Closed,http://www.chonghuahospital.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Affordable dental service and a very good",dentist,"too."""
University of Cebu Medical Center - UCMed,3.3,(105),General hospital,A1 Ouano Avenue,Closing soon: 6:00 pm,(032) 517 0888,Temporarily closed,https://ucmed.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""The",dentists,"and staff are super professional and knowledgeable, ..."""
Perpetual Succour Hospital,3.4,(125),General hospital,Gorordo Ave,Open until 7:00 pm,(032) 233 8620,Temporarily closed,https://www.perpetualsuccourcebu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""I've been to many dental clinics but Dr. Pearl is the best",dentist,"I've ..."""
University of the Philippines Cebu,4.6,(47),Public university,,Opens at 9:00 am,(032) 232 2642,Temporarily closed,https://upcebu.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Commend to the",dentist,"for being professional on extracting tooth."""
University of the Visayas - Main Campus,4.3,(66),Private university,Dionisio Jakosalem St,Opens at 9:00 am,(032) 253 6173,Temporarily closed,http://uv.edu.ph/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Concept Dentistry,4.8,(271),Dentist,2710 17 Ave SE #600,Opens at 9:00 am,+1 403-248-0301,Closed,https://www.conceptdentistrycalgary.com/?utm_source=GMB_Listing&utm_medium=Organic&utm_campaign=Website_URL,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""I've been to a lot of",dentist,"in the past and in my opinion, this place is ..."""
"Scott W. Grant, DMD Family and Cosmetic Dentistry",4.9,(397),Dentist,2275 S Eagle Rd #150,Opens at 7:00 am,+1 208-215-7449,Closed,http://www.scottwgrantdmd.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""This",Dentist,"was incredible and such a life saver in a ..."""
DiStefano Family Dentistry,5.0,(269),Dentist,49 Sycamore St,Open until 6:30 pm,+1 860-633-1635,Temporarily closed,https://glastonburyct.dentist/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
"Infinity Dental Fox Lake: Tom Prendergast, DDS",5.0,(10),Dentist,1394 South St #12,Closing soon: 6:00 pm,+1 847-587-5053,Closed today,https://www.infinitydentalfoxlake.com/?utm_source=GMBlisting&utm_medium=organic,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""i met this",dentist,"earlier ."""
Daniel Skotzko DDS,5.0,(18),Dentist,"8468, 20816 N Main St #202",Opens at 8:00 am,+1 704-987-8700,Closed,http://ncdentist.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
William Fitzgerald DDS,5.0,(49),Dentist,819 S Church St,Opens at 8:00 am,+1 615-896-7582,Closed,https://www.fitzgeralddentistry.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Friendly and loving staff and of course these two",dentists,"who I ..."""
Smile Design Dental Spa - Dental Implants & Dentures,4.9,(220),Dentist,39 Smith Ave,Opens at 9:00 am,+1 914-221-0100,Closed,https://www.smiledesigndentalspa.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Dr. Chelsea Mason Dental,4.9,(259),Dentist,3433 E Midland Rd,Closing soon: 6:00 pm,+1 989-686-6110,Closed today,https://mason.dental/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Fantastic",Dentist,"! Very clean, professional and skilled!"""
Mansker Creek Dental,5.0,(4),Dentist,501 B Long Hollow Pike,Opens at 8:00 am,+1 615-859-0919,Closed,http://manskercreekdental.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""Indistinguishable from a good",dentist,"in USA."""
Martin Dental,4.7,(14),Dentist,1775 E Queen Creek Rd Suite#130,Opens at 8:00 am,+1 480-508-0237,Closed,https://www.martindentalaz.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"""I like the",dentist,"who attended to my sisters."""
